name,barcode,order,quantity,
CST-705:15.1,8592165068374,from stock,0,
CST-705:16.1,8592165059051,from stock,0,
CST-705:17.1,8592165059068,from stock,0,
CST-706:15.1,8592165119878,from stock,0,
CST-706:15.2,8592165100685,from stock,0,
CST-706:16.2,8592165100920,from stock,0,
CST-706:17.2,8592165112015,from stock,0,
CST-706_520:17.2,8592165112091,from stock,0,
CST-711:12.2,8592165106991,from stock,0,
CST-711:13.2,8592165107103,from stock,0,
CST-711:14.2,8592165106595,from stock,0,
CST-715:12.1,8592165092973,from stock,0,
CST-715:13.1,8592165093093,from stock,0,
CST-736:14.2,8592165024363,from stock,0,
CST-736:15.2,8592165022741,from stock,0,
CST-739:15.2,8592165118307,from stock,0,
CST-740:14.2,8592165100616,from stock,0,
CST-740:15.2,8592165059075,from stock,0,
CST-750:17.1,8592165119304,from stock,0,
CST-823:13.1,8592165012100,from stock,0,
CST-823:13.2,8592165056593,from stock,0,
CST-823:14.1,8592165012117,from stock,0,
CST-823:14.2,8592165054629,from stock,0,
CST-823:15.1,8592165029375,from stock,0,
CST-823:15.2,8592165068404,from stock,0,
CST-823:16.1,8592165029382,from stock,0,
CST-823:16.2,8592165068411,from stock,0,
CST-824:12.1,8592165076911,from stock,0,
CST-824:13.1,8592165029399,from stock,0,
CST-824:14.1,8592165022376,from stock,0,
CST-824:15.1,8592165028545,from stock,0,
CST-824:15.2,8592165068435,from stock,0,
CST-824:16.1,8592165071039,from stock,0,
CST-824:17.1,8592165029405,from stock,0,
CST-825:13.1,8592165083414,from stock,0,
CST-827:13.1,8592165083421,from stock,0,
CST-827:14.1,8592165083438,from stock,0,
CST-827:15.1,8592165083445,from stock,0,
CST-965:13.1,8592165058030,from stock,0,
CST-965:14.1,8592165058047,from stock,0,
CST-965:15.1,8592165046433,from stock,0,
CST-965:16.1,8592165059099,from stock,0,
CST-981:12.1,8592165029412,from stock,0,
CST-981:13.1,8592165024998,from stock,0,
CST-981:14.1,8592165015637,from stock,0,
CST-981:15.1,8592165044231,from stock,0,
CST-KO1203030:10,8592165095660,from stock,0,
CST-KO1203060:14,8592165095646,from stock,0,
CTS-706:15.1,8592165119861,from stock,0,
JAW-250-28-022,8592165122328,from stock,0,
JAW-875-56-149,8592165122274,from stock,0,
JAW-875-56-150,8592165122281,from stock,0,
JAW-875-56-153,8592165122298,from stock,0,
JAW-875-56-154,8592165122304,from stock,0,
JAW-889-26-157,8592165122311,from stock,0,
KTM-7771095104504,8592165118888,from stock,0,
KTM-7771095104568,8592165118826,from stock,0,
KTM-7771095104704,8592165118895,from stock,0,
KTM-7771095104768,8592165118833,from stock,0,
KTM-7771095104804,8592165118901,from stock,0,
KTM-7771095104868,8592165118840,from stock,0,
KTM-7771095104904,8592165118918,from stock,0,
KTM-7771095104968,8592165118857,from stock,0,
KTM-7771095105004,8592165118925,from stock,0,
KTM-7771095105068,8592165118864,from stock,0,
KTM-7771095105204,8592165118932,from stock,0,
KTM-7771095105268,8592165118871,from stock,0,
MFE-428/54/6xx3,8592165118024,from stock,0,
MFE-525/42/6xx5 (6,42),8592165117881,from stock,0
RAL-1022:36-BLK,8592165119045,from stock,0,
RAL-1022:37-GLD,8592165117751,from stock,0,
RAL-1204:50-BNZ,8592165093185,from stock,0,
RAL-1213:37-BNZ,8592165093192,from stock,0,
RAL-1214:36-BNZ,8592165093208,from stock,0,
RAL-1214:46-BNZ,8592165093215,from stock,0,
RAL-1303:39-BLK,8592165117850,from stock,0,
RAL-1303:39-BLU,8592165115818,from stock,0,
RAL-1303:40-BLK,8592165116068,from stock,0,
RAL-1303:40-BLU,8592165115825,from stock,0,
RAL-1303:40-BNZ,8592165095189,from stock,0,
RAL-1303:41-BLK,8592165116075,from stock,0,
RAL-1303:41-BLU,8592165115832,from stock,0,
RAL-1303:42-BLK,8592165116082,from stock,0,
RAL-1303:42-BLU,8592165115849,from stock,0,
RAL-1303:43-BLK,8592165109367,from stock,0,
RAL-1303:43-BLU,8592165115856,from stock,0,
RAL-1303:44-BLK,8592165109381,from stock,0,
RAL-1303:44-BLU,8592165115863,from stock,0,
RAL-1303:45-BLK,8592165110622,from stock,0,
